cluster_label|counts|span_score_mean|span_score_min|span_score_max|span_score_median|span_score_std|accessibility_mean|accessibility_min|accessibility_max|accessibility_median|accessibility_std|content_gen_mean|content_gen_min|content_gen_max|content_gen_median|content_gen_std|automation_mean|automation_min|automation_max|automation_median|automation_std
AI|358|0.97800636|0.55359906|0.99999964|0.99996835|0.07524865317198073|0.15901340524223118|0.02949204928552151|0.6473234127062991|0.12902379241666836|0.1057127705998762|0.0413395924334869|0.00180902541248598|0.45973188024975814|0.024845857324272615|0.052207161682706504|0.01257452864598859|0.0010248384507536166|0.5258592680599476|0.006889095543195883|0.030382942184942342
models|129|0.9552426|0.5264685|0.99999964|0.9992372|0.09472801118874043|0.113242110199533|0.029014965078773974|0.41189210078767247|0.10399245054530112|0.05594664009085826|0.06645685489579843|0.004466883263252613|0.6198520021185459|0.044267734337832834|0.08882771910558662|0.010864090154134367|0.0024993277407079455|0.13206468181267528|0.00557662392649654|0.017733269354517397
generative AI models|84|0.9659225|0.51447755|0.99999976|0.99993867|0.09289336545722714|0.2216239728989621|0.02093602664448866|0.9027804937794653|0.15757053207841815|0.1943536714396366|0.027677309186626826|0.00046393980234304494|0.21843375833428816|0.012681548476360282|0.043130220234427544|0.01926888348994392|0.00249408143001753|0.23716151308881117|0.00945485766177392|0.030886690241046243
Large language models|57|0.9768853|0.59522057|0.99999976|0.99999154|0.08003477808149588|0.13377383541756926|0.05950535455760776|0.43974814369941945|0.11659724669090035|0.07393837474909709|0.03724971759579918|0.0036006699473636102|0.20013929186554358|0.026168108708477363|0.03696186845129462|0.008001089541932752|0.0018693113943768524|0.061803564244569315|0.00533888225237012|0.009294272878584952
Neural Networks|55|0.97569555|0.55287|0.9999999|0.9999875|0.07844902603835328|0.11455850069829111|0.060940403514590284|0.3384132162140398|0.09933540796966685|0.05155610023568116|0.04767295994687162|0.012090037541273952|0.2515015252779454|0.03457745884664811|0.04162667453067371|0.013004355637059562|0.0028905021357184613|0.1191238722033562|0.00672761823299922|0.019776252869549357
natural language|47|0.99571097|0.92657524|0.99999976|0.9999516|0.012154709657578347|0.12298236730382543|0.06074839502438334|0.37759721560303905|0.11536199629478561|0.05372040182216812|0.08157051512205774|0.011607685629247032|0.338536451080802|0.061739559937717674|0.06552807409260424|0.007865886394692961|0.002313266513634575|0.04895626358443866|0.0056781145984442375|0.007311768013373006
AGI systems|39|0.9495268|0.6810906|0.9999975|0.9925776|0.07892112573387744|0.14377465333569386|0.04286844294764651|0.6450947105444942|0.10748331765435033|0.1133123741292278|0.03795462591844889|0.0010692288989421939|0.13395616416428988|0.028891463547707573|0.031044922676075733|0.020940386210519912|0.0009587563475712155|0.24295134083771328|0.007916183753067775|0.04083633096540593
Machine Learning|38|0.98106927|0.6985641|0.9999994|0.9998758|0.06620703000332731|0.09650089047684468|0.02635980225936606|0.1929078198344765|0.09637252815235667|0.035128868800766655|0.05802697636165405|0.0031632112862634955|0.22778471838924652|0.045875468803073034|0.04960495977723865|0.01335039171013648|0.002199203837797996|0.06619711946646964|0.00645297014496015|0.01594334416463353
technology|34|0.9864081|0.66866624|0.99999976|0.9999528|0.05680993377670919|0.13701099673224024|0.04172322908925081|0.6134577526438586|0.12055133014229247|0.09558332809938029|0.03764401736278383|0.0021061319136615932|0.15750995499938086|0.02977217063362591|0.033900694169000316|0.011016559603122797|0.0022600713972046054|0.07122276581888631|0.006450517670082791|0.014790981373001331
LLMs|30|0.9804747|0.6789461|0.99999964|0.99999726|0.07115959359337064|0.11528758034153971|0.036426361792825226|0.5200697600636079|0.1005376413623339|0.08700001707686922|0.05238895842256154|0.005221753582469583|0.16478525866044202|0.03416330647479365|0.03965206767202125|0.01026211888827094|0.0019900294349278706|0.06129756141844154|0.007150838735524228|0.01123762922785165
communica- tion|25|0.9501792|0.60809857|0.999998|0.99953973|0.10453620087020689|0.21873843256814285|0.0892668577647011|0.8050626864880649|0.15057772956019816|0.15610502457641573|0.04284373247345345|0.0025696069011771475|0.12408605858271411|0.024385320246076696|0.039041723375695836|0.012835871480013774|0.004212879371041938|0.027431757179183683|0.009506507112152816|0.0076758318938810995
computer vision|24|0.99998564|0.99972945|0.9999999|0.99999917|5.499688455215708e-05|0.09946041595362355|0.03872096910355882|0.1738129194446943|0.09447713615621653|0.028679510066534825|0.07706177480939128|0.031844527083977184|0.24073310591923228|0.05974835762248401|0.049829740743833395|0.004275963252199594|0.002080154820793622|0.008668560553771309|0.004211954999483987|0.0016255513725029094
algorithms|23|0.9701727|0.7638933|0.9999994|0.9998797|0.06934350809353985|0.15641694099722775|0.07715474679222976|0.3527280281526352|0.12163325915634617|0.08014277084280509|0.04769808001920533|0.019086794306945407|0.23822303406728423|0.03062980833955231|0.049321075260011824|0.008060792801861673|0.0029671411867049483|0.019266979576564792|0.007044144649864923|0.004147639021359953
systems|22|0.9549418|0.6564904|0.9999999|0.99968314|0.10576969512742733|0.15553961877048933|0.06457944093080346|0.4170516961006664|0.13799869904848366|0.08048635637593837|0.03589423535757971|0.009770363342051443|0.09517982298260615|0.028402275567155987|0.023324378754058336|0.00800042623858397|0.0036492995163906077|0.026487519032624328|0.005906329314040636|0.005544883275916277
image recognition|19|0.9598509|0.62050605|0.9999999|0.99988997|0.10924380512577529|0.12609886141973634|0.04532103655884947|0.27718422169738843|0.09724971405689602|0.06001885914484322|0.10057379905858119|0.00811725153636378|0.3188471698900839|0.060044759105649693|0.09138490237497983|0.007297762634755178|0.0017760650554569607|0.023179530134484802|0.00499283634298597|0.0053886403561549485
Psychology|19|0.9737571|0.5649788|0.9999875|0.99985766|0.09998088323796088|0.1310133116141661|0.09455863976676133|0.2392097867133316|0.1254223672059845|0.03381348703564799|0.034934062146902964|0.024104633759627677|0.05981232600530117|0.033824147998049135|0.0070494486300496885|0.005583289208381506|0.0027444256367304565|0.009918634281995924|0.005848612674050604|0.0014462431242618875
data collection|18|0.9583751|0.68648785|0.9999995|0.9998684|0.09320391130225122|0.11689311700923286|0.04311070273667469|0.38513673043696783|0.09991302316956602|0.07805908471939414|0.036429551697756885|0.006837600479606339|0.28911132167434217|0.020160339635446528|0.06366456457778658|0.009283317959843447|0.002387529968392413|0.05782618443706813|0.005032442163845767|0.012753692748723336
decision-|17|0.9175804|0.62291366|0.99995816|0.99848|0.1304682645916873|0.12543170886356692|0.047595542190070714|0.3910748477357119|0.10167705536712836|0.08471808907425749|0.06371865308764053|0.001239864531163462|0.31920839833622544|0.04566921746696965|0.08024589392994666|0.007211646689483176|0.0026976210698073967|0.030968558106481043|0.005914164442906618|0.00642261960783388
data analysis|13|0.99789155|0.9800337|0.99999976|0.9999685|0.005562842948190114|0.1193494305671472|0.07763885782523429|0.21109629967975718|0.10348700767651774|0.038125372671487225|0.047177834709040876|0.01857400274783351|0.12931322092979358|0.031098377461374026|0.03679191929538245|0.008254538518540779|0.003302615046768919|0.014513171687208662|0.008014009649846303|0.0039630487063568726
meta-learning|11|0.98276335|0.87730545|0.99999535|0.9998048|0.039936299308969664|0.1170066430280216|0.05941349131180524|0.2657352093153081|0.1060504354880677|0.05684354156687418|0.04328975504038232|0.012262102676211655|0.10039079800146221|0.029383766965128462|0.028690920722507583|0.009716971946904292|0.0026881715006454375|0.026859545128786258|0.006961783338294823|0.008379748533099682
BERT|10|0.9623455|0.6501079|0.999998|0.9999887|0.10994632848615779|0.12677821950614107|0.09222371574193748|0.2228487353376945|0.11768787385450355|0.03766386158351235|0.06485262429033689|0.016140916282377207|0.2166401827706136|0.039395627332509967|0.06172293439904513|0.006357222162332624|0.003130675428716722|0.02227744555347646|0.004230839689297942|0.00588493719714353
multimodal systems|9|0.99794495|0.9907064|0.9999994|0.9999677|0.0036631092375088692|0.16480637855788835|0.056914313897476226|0.32936612841746643|0.11005829331272404|0.10976676829654296|0.05752626091712803|0.009599096585756313|0.1088643896622109|0.058580023746584754|0.03668655744389768|0.007804457654357202|0.003498831421612854|0.017023765319021115|0.005310296586800578|0.004948041397874086
GPU|8|0.9989216|0.99288696|0.99999964|0.99986434|0.002456504492736352|0.09282261150214027|0.047919766386863315|0.17739590134632705|0.08488442332143532|0.03848150804354547|0.04859568577182109|0.02464717503377121|0.06903990600902717|0.04639031040834409|0.015882613561447618|0.008749457492050736|0.002318407030415771|0.014737334842168765|0.007588542783345101|0.004185713380976182
Generative adversarial networks|7|0.999997|0.99999225|0.9999999|0.99999785|2.9807998480071034e-06|0.090530117691035|0.07773387514200432|0.10630074487515313|0.08676761134838164|0.010008548536000835|0.0798089815088728|0.022473258304868408|0.1343712236304376|0.08570575591169247|0.03943713747600236|0.004287718554300836|0.0021706884939660023|0.00574571398812834|0.0042921696330967115|0.0011823666120460209
GNN|7|0.9506348|0.6550163|0.99999034|0.999925|0.1303555126946199|0.09848338282367948|0.03136171830980966|0.13646151483780417|0.10301860880820006|0.03259045852333644|0.031208851285689846|0.015432032454684842|0.04898110961956473|0.026519607577680213|0.011992512617993636|0.0046649514117875586|0.0025572230620876037|0.006488580895062453|0.004886015787568843|0.0014403308654191785
text generation|7|0.96464074|0.7530393|0.9999995|0.9999459|0.09330752665573236|0.09793652522462934|0.07831012953326008|0.13245999312526038|0.0954635102343164|0.020684429335310502|0.15264414184497482|0.03268426821043309|0.38925306243001123|0.07155869786411602|0.15674224615661578|0.004637746377915479|0.002189328113169432|0.0068847013768986685|0.004300309361274409|0.0018277096600223385
agricultural monitoring|5|0.9999713|0.99991596|0.99999917|0.9999919|3.688392056164716e-05|0.09028283393027303|0.07865110260503486|0.10667460097100198|0.09059281048116635|0.011598385560188032|0.029512442440005743|0.019491883161381448|0.04491097056994605|0.027450805428141076|0.009347410395985235|0.004603565355043232|0.002871267087681658|0.010191466909533129|0.0031075647821735015|0.0031451789343361733
data protection|4|0.99979997|0.99954456|0.9999714|0.9998419|0.0001809653057472843|0.10466146551639033|0.061239480015221774|0.13590520949422058|0.11075058627805948|0.03254445855193697|0.01517636690387556|0.002619454146049322|0.03182387315504398|0.01313107015720447|0.014200406382520066|0.01248637624340471|0.0042208449354974925|0.021495531026251537|0.012114564505934903|0.008897435928670391
deepfake news|4|0.9995588|0.9983943|0.9999987|0.9999211|0.0007772932745156353|0.08852045398542632|0.040495507706827354|0.12004396496897406|0.09677117163295193|0.03430008138006462|0.06830445059520363|0.014271078337695128|0.14184008413444288|0.05855331995433825|0.06014744677638182|0.0037961886289280215|0.002553458674087187|0.004773523130300696|0.003928886355662102|0.0009274816544650136
A. Liusie|3|0.9998229|0.99973947|0.99991834|0.9998109|9.004055144592173e-05|0.08866179217051973|0.06955516028735374|0.09853449424926147|0.09789572197494395|0.01654991069292279|0.04031585701280749|0.017755828667730764|0.05749256696235539|0.04569917540833632|0.020408017549105577|0.003930170380703416|0.0037963387194109854|0.004054354941514697|0.003939817481184566|0.0001292783532844461
visual representations|3|0.99999475|0.9999906|0.9999995|0.99999416|4.500051996273249e-06|0.09225196838498904|0.0673969926653424|0.11130602828283535|0.09805288420678937|0.022521963069263663|0.0599145567226169|0.057081449426177974|0.06389149907503779|0.05877072166663495|0.0035461899316666396|0.004912979697559268|0.0020709752121777702|0.009770649439860784|0.0028973144406392484|0.004227106057822223
